C1:1
C11:1
C12:1
C2:1
C5:1
C8:1
D1:1
D5:1
D6:1
D7:1
G***:1
H1:1
H2:1
H3:1
H4:1
J2:1
J3:1
LCD1:1
LS1:1
R1:1
R11:1
R12:1
R13:1
R14:1
R15:1
R16:1
R2:1
R3:1
R4:1
R5:1
R6:1
R7:1
REF**:1
SW1:1
SW2:1
SW3:1
SW4:1
SW6:1
SW7:1
SW8:1
TH1:1
U1:1
U2:1
U3:1
U4:1
U5:1
